"unigram","bigram","freq"
"falling","asleep",3
"far","away",3
"far","can",3
"fast","enough",3
"feel","bad",3
"find","way",3
"fine","art",3
"follow","will",3
"forward","seeing",3
"four","times",3
"four","years",3
"free","time",3
"free","woman",3
"frozen","pizza",3
"gave","us",3
"get","away",3
"get","good",3
"get","little",3
"get","see",3
"get","work",3
"getting","back",3
"glad","finally",3
"global","warming",3
"go","check",3
"go","get",3
"go","make",3
"god","will",3
"going","really",3
"gonna","take",3
"good","day",3
"good","job",3
"good","reason",3
"good","stuff",3
"great","job",3
"great","season",3
"great","time",3
"great","way",3
"great","week",3
"great","weekend",3
"half","years",3
"hanley","wood",3
"happy","new",3
"happy","th",3
"hard","get",3
"haunted","mansion",3
"health","care",3
"help","people",3
"helps","us",3
"hes","allowed",3
"hey","guys",3
"hey","hey",3
"highly","recommend",3
"hip","hop",3
"hope","can",3
"hope","good",3
"human","beings",3
"ice","cube",3
"im","big",3
"im","disappointed",3
"im","done",3
"im","hanging",3
"im","pretty",3
"im","saying",3
"im","sitting",3
"im","tired",3
"im","trying",3
"im","u",3
"ive","seen",3
"jermyn","street",3
"juno","beach",3
"just","discovered",3
"just","feel",3
"just","going",3
"just","gonna",3
"just","heard",3
"just","now",3
"just","realized",3
"just","saw",3
"just","time",3
"just","wanted",3
"justin","bieber",3
"keep","mind",3
"key’s","owner",3
"know","good",3
"know","got",3
"know","people",3
"know","something",3
"know","want",3
"ladies","night",3
"last","month",3
"last","weekend",3
"last","years",3
"late","night",3
"later","much",3
"later","week",3
"lauren","lauren",3
"left","right",3
"let","go",3
"let","someone",3
"level","mp",3
"life","long",3
"life","right",3
"like","every",3
"like","good",3
"like","just",3
"like","man",3
"like","need",3
"like","way",3
"like","will",3
"like","youre",3
"live","way",3
"living","will",3
"lol","im",3
"lol","know",3
"long","ago",3
"long","day",3
"long","term",3
"looks","great",3
"lord","jesus",3
"lose","weight",3
"lot","things",3
"love","always",3
"love","everything",3
"love","guys",3
"love","im",3
"love","making",3
"love","will",3
"love","ya",3
"low","tech",3
"make","go",3
"makes","feel",3
"makes","sense",3
"making","sure",3
"man","can",3
"many","things",3
"matt","hunter",3
"may","come",3
"means","will",3
"men","women",3
"mental","illness",3
"middle","class",3
"might","well",3
"mp","cost",3
"ms","sheppard",3
"need","help",3
"need","stop",3
"never","seen",3
"new","blog",3
"new","orleans",3
"new","people",3
"new","song",3
"new","ways",3
"next","days",3
"nice","know",3
"nice","see",3
"night","im",3
"non","profit",3
"north","central",3
"northern","central",3
"now","know",3
"now","lost",3
"now","time",3
"oh","well",3
"old","girl",3
"old","man",3
"one","hand",3
"one","point",3
"one","side",3
"one","way",3
"oven","degrees",3
"peanut","butter",3
"people","always",3
"people","around",3
"people","don’t",3
"people","just",3
"people","put",3
"per","month",3
"pet","rabbits",3
"plate","cant",3
"preheat","oven",3
"pretty","awesome",3
"pretty","good",3
"prime","minister",3
"r","u",3
"real","estate",3
"real","reason",3
"really","cool",3
"really","hard",3
"really","need",3
"really","really",3
"red","one",3
"right","way",3
"rt","just",3
"rt","youre",3
"san","antonio",3
"san","francisco",3
"santa","claus",3
"santo","domingo",3
"school","home",3
"seemed","like",3
"seems","like",3
"set","free",3
"shit","ever",3
"show","tonight",3
"slides","way",3
"small","town",3
"someone","like",3
"something","can",3
"something","different",3
"something","really",3
"st","louis",3
"star","wars",3
"start","cry",3
"starting","today",3
"still","got",3
"still","one",3
"still","see",3
"still","waiting",3
"super","cute",3
"super","fun",3
"supreme","court",3
"sure","will",3
"take","much",3
"take","place",3
"taking","care",3
"talk","people",3
"th","century",3
"thank","rt",3
"thanks","rt",3
"thanks","sharing",3
"thanks","shout",3
"thats","awesome",3
"thats","great",3
"theres","reason",3
"theres","still",3
"think","’s",3
"think","one",3
"time","love",3
"time","see",3
"time","want",3
"time","watch",3
"time","year",3
"try","new",3
"trying","find",3
"trying","hard",3
"twitter","facebook",3
"two","large",3
"u","want",3
"valentines","day",3
"wal","mart",3
"wanna","hear",3
"want","see",3
"want","take",3
"waste","time",3
"way","make",3
"way","think",3
"ways","things",3
"wear","one",3
"week","one",3
"weekend","come",3
"welcome","back",3
"well","known",3
"well","said",3
"well","will",3
"well","written",3
"went","home",3
"weve","got",3
"whats","next",3
"white","house",3
"whole","lot",3
"will","back",3
"will","find",3
"will","follow",3
"will","give",3
"will","hear",3
"will","like",3
"will","look",3
"will","never",3
"will","tell",3
"wish","go",3
"wouldnt","know",3
"years","eve",3
"years","now",3
"yes","lets",3
"yes","rt",3
"yet","another",3
"yet","still",3
"york","times",3
"young","people",3
"youre","looking",3
"–","don’t",2
"–","just",2
"–","may",2
"–","particular",2
"’d","go",2
"’d","like",2
"’ll","back",2
"’ll","just",2
"’ll","make",2
"’ll","tell",2
"’m","member",2
"’m","still",2
"’m","supposed",2
"’re","good",2
"’re","like",2
"’s","also",2
"’s","bad",2
"’s","birthday",2
"’s","going",2
"’s","got",2
"’s","like",2
"’s","small",2
"’s","way",2
"’ve","taken",2
"“","ask",2
"“","im",2
"“","know",2
"“","people",2
"“","rules",2
"“","time",2
"“","top",2
"“","way”",2
"”","andy",2
"”","interesting",2
"ability","pay",2
"able","come",2
"able","keep",2
"able","run",2
"able","see",2
"absolutely","amazing",2
"according","mom",2
"across","country",2
"actually","get",2
"actually","want",2
"add","list",2
"address","can",2
"address","serving",2
"admit","one",2
"admitted","much",2
"ago","far",2
"ago","makes",2
"ago","one",2
"ahead","time",2
"ais","freedom",2
"alice","cooper",2
"alone","letting",2
"already","dont",2
"already","knew",2
"already","started",2
"also","remember",2
"also","work",2
"always","believed",2
"always","looking",2
"always","one",2
"always","remember",2
"always","supporting",2
"always","talk",2
"always","wanted",2
"amazing","many",2
"amazing","performance",2
"amazon","eu",2
"amazon","services",2
"american","people",2
"andy","”",2
"andy","needs",2
"angels","series",2
"angry","rock",2
"announced","soon",2
"another","chance",2
"another","reason",2
"another","week",2
"another","years",2
"answer","one",2
"anyone","done",2
"anyone","ever",2
"anyone","going",2
"anyone","never",2
"anyone","want",2
"anything","else",2
"apologize","say",2
"appreciation","earth’s",2
"appt","today",2
"area","half",2
"around","corner",2
"around","shoulders",2
"around","tasting",2
"around","us",2
"article","years",2
"asdghjkl","love",2
"asians","just",2
"attend","college",2
"attention","detail",2
"attention","fact",2
"automatically","slides",2
"awakened","state",2
"awareness","appreciation",2
"awesome","go",2
"awesome","people",2
"awesome","will",2
"baby","will",2
"back","back",2
"back","business",2
"back","can",2
"back","get",2
"back","home",2
"back","horse",2
"back","just",2
"back","porch",2
"back","relax",2
"back","see",2
"back","soon",2
"back","strong",2
"back","time",2
"bad","ass",2
"bad","boys",2
"bad","thing",2
"bad","things",2
"bad","traffic",2
"bake","degree",2
"bang","buck",2
"baron","cohen",2
"bay","area",2
"beach","centre",2
"beach","day",2
"bear","republic",2
"beast","master",2
"beautiful","bride",2
"beauty","box",2
"became","common",2
"become","one",2
"become","reality",2
"beer","company",2
"begins","monday",2
"believe","even",2
"believe","god",2
"believe","one",2
"best","can",2
"best","known",2
"best","luck",2
"best","mom",2
"best","proof",2
"best","way",2
"best","wishes",2
"better","able",2
"better","place",2
"bible","verse",2
"big","brother",2
"big","deal",2
"biggest","loser",2
"birdy","city",2
"birthday","blog",2
"birthday","cake",2
"birthday","d",2
"birthday","yesterday",2
"bit","bit",2
"bit","fun",2
"bitters","soda",2
"black","friday",2
"black","white",2
"blog","know",2
"blog","link",2
"blown","away",2
"body","interpret",2
"boiling","water",2
"book","dont",2
"book","read",2
"books","including",2
"bored","someone",2
"borrow","books",2
"boston","beer",2
"bout","time",2
"bowling","playing",2
"box","set",2
"brad","pitt",2
"break","one",2
"breast","cancer",2
"brief","moment",2
"brilliant","idea",2
"bring","back",2
"bring","boil",2
"bring","us",2
"brought","us",2
"budget","continues",2
"building","new",2
"burnt","orange",2
"buying","new",2
"buying","shirts",2
"cake","stand",2
"calendar","html",2
"call","back",2
"call","one",2
"called","“",2
"came","back",2
"came","home",2
"came","see",2
"can","borrow",2
"can","break",2
"can","count",2
"can","create",2
"can","email",2
"can","give",2
"can","hurt",2
"can","judge",2
"can","just",2
"can","keep",2
"can","listen",2
"can","live",2
"can","look",2
"can","now",2
"can","offer",2
"can","pass",2
"can","play",2
"can","pretty",2
"can","say",2
"can","seen",2
"can","send",2
"can","sit",2
"can","someone",2
"can","stop",2
"can","trust",2
"can","used",2
"can’t","tell",2
"cant","sleep",2
"car","rental",2
"card","stock",2
"care","much",2
"caroling","uh",2
"catholics","see",2
"cause","just",2
"center","tonight",2
"central","time",2
"championship","game",2
"change","isnt",2
"changed","life",2
"check","just",2
"cheese","curds",2
"cherry","tree",2
"chicago","chicago",2
"chicago","will",2
"chicken","stock",2
"children","learn",2
"children","like",2
"children","obey",2
"chocolate","chip",2
"christ","like",2
"city","austin",2
"class","iii",2
"class","well",2
"clean","plate",2
"close","now",2
"cloth","diapering",2
"club","meeting",2
"cocke","county",2
"cold","nights",2
"color","can",2
"combination","three",2
"come","get",2
"come","visit",2
"come","wait",2
"comes","back",2
"coming","tan",2
"completely","blown",2
"conditions","like",2
"considerable","disappointment",2
"constant","drip",2
"contemporary","dance",2
"cook","minutes",2
"cookie","sheet",2
"corn","starch",2
"cost","damage",2
"costs","local",2
"couldnt","get",2
"couldnt","make",2
"couldnt","possibly",2
"counted","one",2
"couple","times",2
"couple","years",2
"course","like",2
"court","appeals",2
"craft","beer",2
"cream","cake",2
"cream","social",2
"crossed","paths",2
"cup","coffee",2
"curious","see",2
"current","former",2
"cute","little",2
"ð<U+009F><U+0098><U+0083>","veryone",2
"damn","good",2
"damn","thats",2
"dark","now",2
"dates","announced",2
"day","beautiful",2
"day","best",2
"day","can",2
"day","coming",2
"day","eating",2
"day","go",2
"day","got",2
"day","im",2
"day","just",2
"day","know",2
"day","much",2
"day","now",2
"day","one",2
"day","reflection",2
"day","spring",2
"day","today",2
"day","week",2
"day","weekend",2
"days","away",2
"days","later",2
"days","one",2
"days","real",2
"days","will",2
"dead","tracks",2
"death","–",2
"death","destiny",2
"death","wish",2
"decided","make",2
"deep","fried",2
"defence","budget",2
"definitely","felt",2
"degree","oven",2
"desperate","times",2
"destinations","northern",2
"didn’t","mean",2
"didnt","mean",2
"didnt","think",2
"diet","coke",2
"digital","titles",2
"dinner","im",2
"disappointed","ghetto",2
"dixieland","lounge",2
"dm","email",2
"doesn’t","work",2
"doesnt","help",2
"doesnt","like",2
"doesnt","look",2
"doesnt","matter",2
"doesnt","take",2
"don’t","clean",2
"don’t","love",2
"don’t","need",2
"don’t","really",2
"don’t","take",2
"don’t","tell",2
"don’t","think",2
"donate","charity",2
"done","”",2
"done","good",2
"dont","allow",2
"dont","dare",2
"dont","feel",2
"dont","forget",2
"dont","just",2
"dont","let",2
"dont","miss",2
"dont","talk",2
"dont","understand",2
"doors","open",2
"dots","o",2
"drip","drip",2
"dry","touch",2
"dude","love",2
"dwayne","johnson",2
"e","e",2
"e","l",2
"early","morning",2
"early","s",2
"earned","degree",2
"earth","day",2
"earth’s","natural",2
"easter","brunch",2
"easter","everyone",2
"easy","project",2
"easy","today",2
"easy","way",2
"eat","much",2
"eat","pick",2
"eight","days",2
"either","get",2
"either","im",2
"either","way",2
"email","nathanonearth",2
"email","program",2
"end","august",2
"enough","said",2
"entertainment","sports",2
"especially","one",2
"especially","sanchez",2
"estate","agent",2
"even","best",2
"even","better",2
"even","get",2
"even","got",2
"ever","come",2
"ever","get",2
"ever","good",2
"ever","heard",2
"ever","im",2
"ever","since",2
"every","human",2
"every","one",2
"every","woman",2
"everyone","elses",2
"everything","else",2
"everything","pretty",2
"expensive","fees",2
"experience","must",2
"external","world",2
"extra","time",2
"eyes","closed",2
"eyes","d",2
"eyes","like",2
"eyes","still",2
"fabric","sorts",2
"facebook","twitter",2
"fact","don’t",2
"faded","faded",2
"fall","asleep",2
"falling","love",2
"family","law",2
"family","life",2
"family","members",2
"famous","people",2
"fast","food",2
"father","told",2
"favorite","bible",2
"favorite","part",2
"favorite","science",2
"favorite","thing",2
"favourite","things",2
"favre","ground",2
"feel","comfortable",2
"feel","good",2
"feel","little",2
"feeling","good",2
"fees","join",2
"fell","love",2
"felt","good",2
"fiction","movie",2
"fight","club",2
"filmfare","best",2
"final","four",2
"finally","went",2
"find","new",2
"find","today",2
"finding","things",2
"fine","now",2
"fire","crackers",2
"first","draft",2
"first","filmfare",2
"first","half",2
"first","lady",2
"first","new",2
"first","person",2
"first","place",2
"first","show",2
"first","steps",2
"five","six",2
"five","times",2
"five","years",2
"fixes","long",2
"follow","just",2
"followed","book",2
"following","dont",2
"following","us",2
"following","years",2
"food","just",2
"food","wastersyou",2
"forgotten","children",2
"fossil","record",2
"foundational","learning",2
"four","current",2
"free","download",2
"friday","april",2
"friday","will",2
"friend","says",2
"friends","family",2
"friends","reason",2
"friends","special",2
"front","seat",2
"full","board",2
"full","body",2
"full","house",2
"fun","activities",2
"fun","day",2
"fun","fun",2
"fun","go",2
"fun","project",2
"funny","can",2
"funny","mean",2
"g","mail",2
"game","go",2
"game","lets",2
"game","one",2
"game","platform",2
"game","watch",2
"games","day",2
"gas","assets",2
"george","washington",2
"get","another",2
"get","bigger",2
"get","caught",2
"get","done",2
"get","drunk",2
"get","full",2
"get","know",2
"get","lawn",2
"get","much",2
"get","name",2
"get","nasty",2
"get","people",2
"get","point",2
"get","rid",2
"get","right",2
"get","rouuughh",2
"get","shot",2
"get","sleep",2
"get","something",2
"get","special",2
"get","worried",2
"gets","better",2
"getting","little",2
"getting","mine",2
"gift","card",2
"girl","heart",2
"girl","like",2
"girl","say",2
"girl","scout",2
"girls","like",2
"give","away",2
"give","body",2
"give","everything",2
"give","formula",2
"give","one",2
"give","shout",2
"gives","pain",2
"glad","like",2
"go","ahead",2
"go","bed",2
"go","buy",2
"go","can",2
"go","eat",2
"go","facebook",2
"go","got",2
"go","sleep",2
"go","want",2
"go","watch",2
"go","work",2
"goal","’ll",2
"god","father",2
"going","change",2
"going","fun",2
"going","last",2
"going","make",2
"going","miss",2
"going","show",2
"going","start",2
"going","take",2
"going","try",2
"going","without",2
"golden","brown",2
"golden","globe",2
"gone","good",2
"gone","now",2
"gonna","die",2
"gonna","go",2
"gonna","let",2
"gonna","make",2
"goo","goo",2
"good","call",2
"good","enough",2
"good","example",2
"good","excuse",2
"good","home",2
"good","ive",2
"good","looking",2
"good","meal",2
"good","men",2
"good","music",2
"good","night",2
"good","see",2
"good","weekend",2
"good","will",2
"good","wishes",2
"good","work",2
"goose","market",2
"got","dressed",2
"got","end",2
"got","get",2
"got","good",2
"got","got",2
"got","lucky",2
"got","married",2
"got","new",2
"got","one",2
"got","right",2
"got","tickets",2
"gotta","get",2
"gotta","go",2
"government","will",2
"grade","school",2
"grateful","dead",2
"great","article",2
"great","conversation",2
"great","friends",2
"great","just",2
"great","little",2
"great","meet",2
"great","point",2
"great","run",2
"great","see",2
"great","work",2
"green","eyes",2
"guess","good",2
"guess","just",2
"guess","now",2
"guess","well",2
"guess","whos",2
"guest","list",2
"gulf","cartel",2
"guy","u",2
"guys","can",2
"guys","keep",2
"h","e",2
"ha","ha",2
"ha","rt",2
"haha","love",2
"haha","thats",2
"half","hour",2
"hall","fame",2
"hands","experience",2
"happen","’s",2
"happens","give",2
"happy","happy",2
"happy","help",2
"happy","hour",2
"happy","life",2
"happy","monday",2
"happy","thanksgiving",2
"hard","keep",2
"hate","girl",2
"hate","hate",2
"hate","seems",2
"havent","even",2
"headphones","oddly",2
"hear","see",2
"hear","speak",2
"heard","someone",2
"heart","one",2
"held","part",2
"help","get",2
"help","us",2
"hennepin","county",2
"hey","girl",2
"hey","im",2
"hey","thanks",2
"hide","ya",2
"high","expectations",2
"high","heat",2
"high","speed",2
"hired","<U+0096>",2
"history","class",2
"history","interesting",2
"hit","beach",2
"hit","us",2
"holy","shit",2
"home","get",2
"home","im",2
"home","make",2
"home","miss",2
"home","run",2
"home","sit",2
"home","think",2
"home","town",2
"home","will",2
"hope","great",2
"hope","well",2
"hope","wonderful",2
"hopefully","soon",2
"hour","ahead",2
"hour","later",2
"hours","practice",2
"house","day",2
"house","party",2
"human","species",2
"hunger","games",2
"hunter","matt",2
"id","happy",2
"id","like",2
"id","rather",2
"id","say",2
"idea","going",2
"idea","rt",2
"ill","always",2
"ill","eat",2
"ill","give",2
"ill","post",2
"ill","probably",2
"ill","remember",2
"ill","say",2
"ill","send",2
"ill","stop",2
"ill","tell",2
"ill","try",2
"im","already",2
"im","angry",2
"im","back",2
"im","caught",2
"im","coming",2
"im","confused",2
"im","currently",2
"im","feeling",2
"im","gettin",2
"im","guessing",2
"im","hungry",2
"im","im",2
"im","late",2
"im","loving",2
"im","open",2
"im","planning",2
"im","proud",2
"im","ready",2
"im","scared",2
"im","sleepy",2
"im","still",2
"im","taking",2
"im","talking",2
"im","totally",2
"im","wearing",2
"im","writing",2
"im","wrong",2
"imma","go",2
"immune","system",2
"important","urgent",2
"including","one",2
"increase","awareness",2
"info","can",2
"information","can",2
"information","first",2
"information","regarding",2
"inked","tattooing",2
"inside","zippered",2
"inspired","message",2
"inspired","work",2
"interested","start",2
"interesting","things",2
"interior","design",2
"interpret","music",2
"iphone","s",2
"ish","inches",2
"isnt","even",2
"isnt","much",2
"ive","working",2
"jam","packed",2
"james","bond",2
"jean","jacques",2
"jermyn","st",2
"john","cena",2
"johnny","ronan",2
"joining","us",2
"journalists","will",2
"june","th",2
"just","another",2
"just","around",2
"just","barely",2
"just","can",2
"just","doesnt",2
"just","dont",2
"just","ended",2
"just","glad",2
"just","go",2
"just","keep",2
"just","kept",2
"just","leaving",2
"just","let",2
"just","love",2
"just","made",2
"just","many",2
"just","need",2
"just","nice",2
"just","played",2
"just","received",2
"just","recently",2
"just","say",2
"just","second",2
"just","see",2
"just","something",2
"just","started",2
"just","stay",2
"just","things",2
"just","thinking",2
"just","try",2
"just","use",2
"just","watched",2
"just","watching",2
"just","went",2
"just","won",2
"k","pop",2
"keep","good",2
"keep","great",2
"keep","head",2
"keep","posted",2
"keep","putting",2
"keep","real",2
"keep","things",2
"keep","trying",2
"keep","tweeting",2
"kendrick","perkins",2
"kick","back",2
"killed","wounded",2
"kind","novel",2
"kitchen","sink",2
"knew","exactly",2
"knew","existed",2
"knock","shit",2
"know","’ll",2
"know","’s",2
"know","anymore",2
"know","better",2
"know","even",2
"know","ive",2
"know","love",2
"know","make",2
"know","many",2
"know","mean",2
"know","missed",2
"know","need",2
"know","one",2
"know","place",2
"know","said",2
"know","well",2
"know","whats",2
"know","whole",2
"know","writing",2
"know","youd",2
"known","dwayne",2
"kolsch","style",2
"la","la",2
"lady","gaga",2
"large","scale",2
"last","book",2
"last","days",2
"last","minutes",2
"last","months",2
"last","question",2
"last","tweet",2
"laundry","room",2
"law","enforcement",2
"law","land",2
"lawn","chair",2
"layer","melted",2
"laying","middle",2
"leans","forward",2
"learn","new",2
"learn","play",2
"learned","much",2
"learning","hard",2
"least","days",2
"least","little",2
"least","one",2
"lebron","james",2
"left","behind",2
"legal","system",2
"lemon","bundt",2
"lemons","lemon",2
"let","clear",2
"let","cool",2
"let","em",2
"let","love",2
"lets","set",2
"life","awakened",2
"life","goes",2
"life","good",2
"life","im",2
"life","like",2
"life","make",2
"like","“",2
"like","back",2
"like","better",2
"like","call",2
"like","crazy",2
"like","daddy",2
"like","dont",2
"like","gift",2
"like","green",2
"like","happens",2
"like","join",2
"like","might",2
"like","movie",2
"like","never",2
"like","paris",2
"like","pay",2
"like","said",2
"like","see",2
"like","talk",2
"like","thats",2
"like","ur",2
"like","use",2
"like","using",2
"liked","better",2
"likely","die",2
"likes","go",2
"lime","bitters",2
"limited","time",2
"line","youre",2
"lion","head",2
"list","making",2
"list","new",2
"little","late",2
"little","people",2
"little","room",2
"little","will",2
"live","life",2
"live","music",2
"living","life",2
"living","room",2
"llc","amazon",2
"lol","good",2
"lol","just",2
"long","enough",2
"long","range",2
"long","way",2
"look","great",2
"look","thanks",2
"looked","back",2
"looked","like",2
"looking","new",2
"looks","good",2
"looks","interesting",2
"looks","way",2
"looped","dixieland",2
"lost","translation",2
"lot","crazy",2
"lot","learn",2
"lot","shit",2
"lot","two",2
"lotfp","grindhouse",2
"lots","fun",2
"lounge","music",2
"love","austin",2
"love","blog",2
"love","children",2
"love","come",2
"love","free",2
"love","hate",2
"love","hear",2
"love","meet",2
"love","seeing",2
"love","though",2
"love","true",2
"love","us",2
"lovely","time",2
"low","priced",2
"lucky","girl",2
"m","f",2
"made","little",2
"magic","show",2
"mail","dot",2
"main","reason",2
"major","issues",2
"make","another",2
"make","better",2
"make","book",2
"make","cones",2
"make","difference",2
"make","everyone",2
"make","excuses",2
"make","happen",2
"make","happy",2
"make","mistakes",2
"make","something",2
"make","way",2
"make","weekend",2
"make","work",2
"makes","animal",2
"male","character",2
"man","lol",2
"many","children",2
"many","followers",2
"many","good",2
"many","women",2
"many","young",2
"maple","syrup",2
"march","st",2
"mark","calendars",2
"mark","time",2
"mass","murderer",2
"may","day",2
"may","enjoy",2
"may","never",2
"may","read",2
"maybe","can",2
"mcdonald","said",2
"meal","plans",2
"mean","u",2
"means","time",2
"medical","center",2
"medium","full",2
"medium","heat",2
"medium","high",2
"meet","wednesday",2
"meetings","expensive",2
"members","can",2
"memorial","day",2
"mental","health",2
"merry","christmas",2
"messages","can",2
"met","said",2
"might","able",2
"might","find",2
"might","giants",2
"might","just",2
